# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-01-05	4	0			
2020-01-06	4	0			
2020-01-07	4	0			
2020-01-08	4	0			
2020-01-09	4	0			
2020-01-10	4	0			
2020-01-11	4	0			
2020-01-12	4	0			
2020-01-13	4	0			
2020-01-14	4	0			
2020-01-15	4	0			
2020-01-16	4	0			
2020-01-17	4	0			
2020-01-18	4	0			
2020-01-19	4	0			
2020-01-20	4	0			
2020-01-21	4	0			
2020-01-22	4	0			
2020-01-23	4	0			
2020-01-24	4	0			
2020-01-25	4	0			
2020-01-26	4	0			
2020-01-27	4	0			
2020-01-28	4	0			
2020-01-29	4	0			
2020-01-30	6	0			
2020-01-31	6	0			
2020-02-01	6	0			
2020-02-02	6	0			
2020-02-03	6	0			
2020-02-04	6	0			
2020-02-05	6	0			
2020-02-06	6	0			
2020-02-07	6	0			
2020-02-08	6	0			
2020-02-09	6	0			
2020-02-10	6	0			
2020-02-11	6	0			
2020-02-12	6	0			
2020-02-13	6	0			
2020-02-14	6	0			
2020-02-15	6	0			
2020-02-16	6	0			
2020-02-17	6	0			
2020-02-18	6	0			
2020-02-19	6	0			
2020-02-20	6	0			
2020-02-21	6	0			
2020-02-22	6	0			
2020-02-23	6	0			
2020-02-24	6	0			
2020-02-25	6	0	0	0	
2020-02-26	7	0	1	0	
2020-02-27	7	0	1	0	
2020-02-28	10	0	2	0	
2020-02-29	14	0	3	0	
2020-03-01	15	0	3	0	
2020-03-02	16	0	3	0	
2020-03-03	19	0	4	0	
2020-03-04	21	0	4	0	
2020-03-05	26	0	5	0	
2020-03-06	35	0	7	0	
2020-03-07	48	0	7	0	
2020-03-08	50	0	9	0	
2020-03-09	65	0	13	3	
2020-03-10	85	1	18	4	
2020-03-11	117	1	20	6	
2020-03-12	158	2	23	6	
2020-03-13	228	2	33	7	
2020-03-14	347	2	41	8	
2020-03-15	429	4	44	12	
2020-03-16	553	4	62	10	
2020-03-17	703	5	73	19	
2020-03-18	910	6	76	20	
2020-03-19	1138	7	87	19	
2020-03-20	1306	9	104	22	
2020-03-21	1444	9	132	25	
2020-03-22	1548	10	173	36	
2020-03-23	1699	14	203	43	
2020-03-24	1816	15	217	41	103
2020-03-25	1955	22	240	50	122
2020-03-26	2157	24	254	52	144
2020-03-27	2318	31	290	54	153
2020-03-28	2523	39	315	59	175
2020-03-29	2634	48	338	59	193
2020-03-30	2850	56	358	57	216
2020-03-31	3104	66	385	64	241
2020-04-01	3284	75	382	64	260
2020-04-02	3576	83	400	62	283
2020-04-03	3787	89	399	65	284
2020-04-04	3922	102	399	61	305
2020-04-05	4007	108	398	56	327
2020-04-06	4131	121	394	56	345
2020-04-07	4307	131	391	51	374
2020-04-08	4437	144	381	49	442
2020-04-09	4528	154	366	47	
2020-04-10	4572	164	355	47	448
2020-04-11	4622	173	344	48	463
2020-04-12	4645	181	342	47	479
2020-04-13	4689	185	346	47	490
2020-04-14	4753	190	344	46	490
2020-04-15	4816	197	326	41	502
2020-04-16	4881	204	323	38	520
2020-04-17	4925	210	307	39	532
2020-04-18	4969	214	295	34	553
2020-04-19	4979	218	296	35	558
2020-04-20	5006	221	301	34	561
2020-04-21	5040	227	286	32	581
2020-04-22	5069	235	270	30	589
2020-04-23	5103	238	263	29	592
2020-04-24	5122	244	261	26	600
2020-04-25	5139	246	253	27	609
2020-04-26	5144	247	254	25	610
2020-04-27	5161	248	255	26	610
2020-04-28	5181	250	260	23	617
2020-04-29	5198	252	238	21	634
2020-04-30	5206	254	234	19	640
2020-05-01	5224	257	227	18	658
2020-05-02	5229	260	219	17	660
2020-05-03	5235	260	223	17	660
2020-05-04	5241	262	224	17	661
